@RELATION forexPriceTestSet

@ATTRIBUTE open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE close real
@ATTRIBUTE close2 real

@data
1.003900,1.003930,1.003860,1.003930,1.003180
1.003310,1.003310,1.003180,1.003180,1.003870
1.003720,1.003870,1.003720,1.003870,1.003810
1.003790,1.003820,1.003790,1.003810,1.005040
1.004920,1.005040,1.004760,1.005040,1.003760
1.003550,1.003790,1.003540,1.003760,1.005030
1.005030,1.005050,1.004960,1.005030,1.004580
1.004570,1.004680,1.004480,1.004580,1.005100
1.004960,1.005100,1.004920,1.005100,1.006570
1.006720,1.006750,1.006470,1.006570,1.006350
1.006370,1.006430,1.006330,1.006350,1.005210
1.004900,1.005270,1.004900,1.005210,1.003950
1.004120,1.004320,1.003930,1.003950,1.004520
1.004360,1.004560,1.004360,1.004520,1.004010
1.004370,1.004370,1.004010,1.004010,1.005180
1.005310,1.005310,1.005180,1.005180,1.004680
1.004530,1.004680,1.004530,1.004680,1.004510
1.004540,1.004540,1.004510,1.004510,1.004590
1.004610,1.004610,1.004590,1.004590,1.004510
1.004490,1.004600,1.004450,1.004510,1.003760
1.003760,1.003790,1.003750,1.003760,1.003400
1.003400,1.003400,1.003390,1.003400,1.003350
1.003330,1.003360,1.003330,1.003350,1.002540
1.002550,1.002560,1.002530,1.002540,1.003040
1.003080,1.003080,1.003040,1.003040,1.002920
1.002910,1.002940,1.002830,1.002920,1.003170
1.003110,1.003170,1.003110,1.003170,1.003100
1.003110,1.003120,1.003090,1.003100,1.003860
1.004180,1.004200,1.003790,1.003860,1.005630
1.005450,1.005630,1.005340,1.005630,1.006190
1.006600,1.006660,1.006150,1.006190,1.004250
1.004210,1.004350,1.004160,1.004250,1.004450
1.004230,1.004500,1.004230,1.004450,1.004890
1.004880,1.004920,1.004840,1.004890,1.004270
1.004570,1.004570,1.004260,1.004270,1.004380
1.004260,1.004450,1.004240,1.004380,1.001160
1.000540,1.001160,1.000290,1.001160,1.002840
1.003030,1.003240,1.002840,1.002840,1.001800
1.001690,1.001800,1.001690,1.001800,1.001360
1.001030,1.001480,1.001010,1.001360,1.002210
1.002280,1.002290,1.002140,1.002210,1.001220
1.001320,1.001320,1.001220,1.001220,1.000380
1.000420,1.000420,1.000090,1.000380,0.999860
0.999860,0.999860,0.999860,0.999860,1.000580
1.000470,1.000590,1.000450,1.000580,1.000680
1.000550,1.000680,1.000550,1.000680,1.000860
1.000800,1.000860,1.000770,1.000860,1.001430
1.001370,1.001430,1.001260,1.001430,1.001560
1.001390,1.001670,1.001390,1.001560,1.001130
1.001260,1.001260,1.001130,1.001130,1.001370
1.001410,1.001410,1.001330,1.001370,1.002290
1.002110,1.002290,1.002100,1.002290,1.001800
1.001760,1.001950,1.001760,1.001800,1.002470
1.002490,1.002620,1.002390,1.002470,1.003700
1.003840,1.003840,1.003620,1.003700,1.003470
1.003270,1.003550,1.003270,1.003470,1.001590
1.001560,1.001720,1.001530,1.001590,1.001580
1.001410,1.001660,1.001400,1.001580,1.002730
1.002750,1.002790,1.002680,1.002730,1.004710
1.004730,1.004840,1.004600,1.004710,1.006380
1.006870,1.007020,1.006340,1.006380,1.007850
1.008130,1.008410,1.007850,1.007850,1.008780
1.008660,1.008800,1.008580,1.008780,1.009220
1.009190,1.009310,1.009190,1.009220,1.008760
1.008840,1.008890,1.008760,1.008760,1.007090
1.007100,1.007110,1.007030,1.007090,1.007160
1.007050,1.007220,1.007050,1.007160,1.006400
1.006290,1.006630,1.005880,1.006400,1.007030
1.006700,1.007030,1.006700,1.007030,1.006400
1.007480,1.007480,1.006400,1.006400,1.007700
1.007610,1.007710,1.007580,1.007700,1.007320
1.007320,1.007320,1.007320,1.007320,1.007470
1.007480,1.007480,1.007470,1.007470,1.007220
1.007230,1.007240,1.007220,1.007220,1.007320
1.007320,1.007320,1.007320,1.007320,1.006920
1.007120,1.007120,1.006890,1.006920,1.005690
1.005800,1.005810,1.005680,1.005690,1.005200
1.005110,1.005210,1.005070,1.005200,1.006510
1.006490,1.006690,1.006480,1.006510,1.006330
1.006410,1.006420,1.006310,1.006330,1.006330
1.006440,1.006450,1.006330,1.006330,1.005560
1.005630,1.005630,1.005500,1.005560,1.006150
1.006150,1.006220,1.006090,1.006150,1.006710
1.006890,1.006930,1.006710,1.006710,1.007380
1.007480,1.007520,1.007260,1.007380,1.007370
1.007210,1.007420,1.007210,1.007370,1.008200
1.007850,1.008220,1.007850,1.008200,1.009020
1.009030,1.009040,1.008970,1.009020,1.009710
1.009850,1.009860,1.009710,1.009710,1.010110
1.010080,1.010120,1.010080,1.010110,1.009870
1.009860,1.009870,1.009860,1.009870,1.009570
1.009550,1.009580,1.009550,1.009570,1.009410
1.009640,1.009640,1.009410,1.009410,1.009570
1.009580,1.009590,1.009570,1.009570,1.009480
1.009480,1.009510,1.009470,1.009480,1.010300
1.010310,1.010310,1.010280,1.010300,1.010630
1.010630,1.010670,1.010610,1.010630,1.010890
1.010920,1.010920,1.010890,1.010890,1.011070
1.011080,1.011080,1.011070,1.011070,1.011260
1.011240,1.011260,1.011230,1.011260,1.011220
1.011300,1.011340,1.011170,1.011220,1.012040
1.011650,1.012180,1.011650,1.012040,1.012690
1.012860,1.012910,1.012690,1.012690,1.011620
1.011380,1.011630,1.011380,1.011620,1.011770
1.011730,1.011780,1.011670,1.011770,1.012910
1.012930,1.012980,1.012840,1.012910,1.013050
1.013090,1.013090,1.012980,1.013050,1.014410
1.014490,1.014500,1.014240,1.014410,1.012930
1.012870,1.013040,1.012800,1.012930,1.015160
1.015080,1.015190,1.015050,1.015160,1.016830
1.016940,1.017060,1.016720,1.016830,1.015260
1.015110,1.015260,1.015050,1.015260,1.015360
1.015560,1.015560,1.015360,1.015360,1.014460
1.014460,1.014520,1.014340,1.014460,1.014640
1.014450,1.014640,1.014440,1.014640,1.014430
1.014440,1.014440,1.014430,1.014430,1.014100
1.014250,1.014300,1.014100,1.014100,1.014330
1.014340,1.014340,1.014310,1.014330,1.014300
1.014300,1.014320,1.014290,1.014300,1.014840
1.014790,1.014990,1.014770,1.014840,1.016630
1.016630,1.016630,1.016600,1.016630,1.016600
1.016580,1.016600,1.016580,1.016600,1.015950
1.015970,1.015970,1.015950,1.015950,1.015540
1.015530,1.015540,1.015530,1.015540,1.015290
1.015340,1.015370,1.015250,1.015290,1.014960
1.014610,1.015000,1.014610,1.014960,1.013710
1.013870,1.013930,1.013710,1.013710,1.013910
1.013900,1.013930,1.013880,1.013910,1.013830
1.013970,1.014000,1.013820,1.013830,1.015030
1.015030,1.015060,1.015020,1.015030,1.015390
1.015460,1.015490,1.015390,1.015390,1.016860
1.016780,1.016970,1.016700,1.016860,1.017920
1.018030,1.018180,1.017900,1.017920,1.018950
1.019270,1.019270,1.018940,1.018950,1.019760
1.019690,1.019780,1.019630,1.019760,1.018800
1.018900,1.018940,1.018790,1.018800,1.019700
1.018750,1.019840,1.018490,1.019700,1.019770
1.019840,1.019840,1.019700,1.019770,1.019560
1.019400,1.019610,1.019320,1.019560,1.019830
1.019830,1.019830,1.019830,1.019830,1.019680
1.019610,1.019680,1.019610,1.019680,1.018410
1.018420,1.018430,1.018410,1.018410,1.017500
1.017670,1.017680,1.017460,1.017500,1.016500
1.016430,1.016500,1.016390,1.016500,1.016620
1.016480,1.016630,1.016480,1.016620,1.015840
1.015840,1.015840,1.015840,1.015840,1.015720
1.015670,1.015720,1.015660,1.015720,1.015530
1.015460,1.015530,1.015460,1.015530,1.016550
1.016600,1.016600,1.016500,1.016550,1.017710
1.017480,1.017720,1.017310,1.017710,1.017760
