@RELATION MACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}

@data
-3.5382546721990545E-4,-3.3687256928991577E-4,stall
-3.3687256928991577E-4,-6.305940678473233E-5,stall
-6.305940678473233E-5,-2.4362361310589E-4,stall
-2.4362361310589E-4,-6.830075939429463E-4,stall
-6.830075939429463E-4,-9.485946490560643E-4,stall
-9.485946490560643E-4,-9.883326979225405E-4,stall
-9.883326979225405E-4,-0.0010359777905732113,stall
-0.0010359777905732113,-0.0013498396857745342,stall
-0.0013498396857745342,-0.0015953276947673523,stall
-0.0015953276947673523,-0.001356429673882179,stall
-0.001356429673882179,-0.0011481916338291435,stall
-0.0011481916338291435,-7.019884154654669E-4,stall
-7.019884154654669E-4,-5.52173257663512E-4,stall
-5.52173257663512E-4,-4.173103324000395E-4,stall
-4.173103324000395E-4,-3.719662695793025E-4,stall
-3.719662695793025E-4,-3.261860457261607E-4,stall
-3.261860457261607E-4,-1.7840426020688475E-4,stall
-1.7840426020688475E-4,-3.3863432882760315E-6,stall
-3.3863432882760315E-6,1.6868664004383947E-4,buy
1.6868664004383947E-4,3.5822692367691936E-4,stall
3.5822692367691936E-4,6.296494959379924E-4,stall
6.296494959379924E-4,6.77631066979132E-4,stall
6.77631066979132E-4,7.589175211282911E-4,stall
7.589175211282911E-4,4.689910678998487E-4,stall
4.689910678998487E-4,3.753398689792585E-4,stall
3.753398689792585E-4,2.473053826303191E-4,stall
2.473053826303191E-4,2.7745228376991867E-4,stall
2.7745228376991867E-4,1.856369069594163E-4,stall
1.856369069594163E-4,8.367108074358847E-5,stall
8.367108074358847E-5,-7.055646778395333E-5,sell
-7.055646778395333E-5,-2.63334862013645E-4,stall
-2.63334862013645E-4,4.7991029480287835E-5,buy
4.7991029480287835E-5,4.0932305667827715E-4,stall
4.0932305667827715E-4,0.0011114225542724907,stall
0.0011114225542724907,0.0015008413529721937,stall
0.0015008413529721937,0.0018925287193778933,stall
0.0018925287193778933,0.002042535215065343,stall
0.002042535215065343,0.0019876985789844238,stall
0.0019876985789844238,0.0019310880006005986,stall
0.0019310880006005986,0.0016083648778723245,stall
0.0016083648778723245,0.0013037689739478775,stall
0.0013037689739478775,0.0011473369947810452,stall
0.0011473369947810452,9.068381844674711E-4,stall
9.068381844674711E-4,5.322909545239689E-4,stall
5.322909545239689E-4,4.0612886403567435E-4,stall
4.0612886403567435E-4,2.441411611653283E-4,stall
2.441411611653283E-4,2.0484185168489566E-4,stall
2.0484185168489566E-4,1.4766983667406533E-4,stall
1.4766983667406533E-4,6.919250539597554E-5,stall
6.919250539597554E-5,-2.9531380547683384E-5,sell
-2.9531380547683384E-5,-9.422135600876719E-5,stall
-9.422135600876719E-5,-5.611608093011129E-5,stall
-5.611608093011129E-5,-4.6709635133329206E-5,stall
-4.6709635133329206E-5,2.1746190087269324E-4,buy
2.1746190087269324E-4,3.927604854905803E-4,stall
3.927604854905803E-4,2.13176586773175E-4,stall
2.13176586773175E-4,1.729991157856832E-4,stall
1.729991157856832E-4,2.0914722962472052E-4,stall
2.0914722962472052E-4,2.6523604313188247E-4,stall
2.6523604313188247E-4,3.3155485927140486E-4,stall
3.3155485927140486E-4,3.9622436052396933E-4,stall
3.9622436052396933E-4,2.0731623332490316E-4,stall
2.0731623332490316E-4,2.735049103833177E-4,stall
2.735049103833177E-4,2.47239517215247E-4,stall
2.47239517215247E-4,2.4105844362176188E-4,stall
2.4105844362176188E-4,1.8469912303586576E-4,stall
1.8469912303586576E-4,-5.373986176096263E-5,sell
-5.373986176096263E-5,-2.603020856366302E-4,stall
-2.603020856366302E-4,-2.1656837221762076E-4,stall
-2.1656837221762076E-4,-2.4813477111847084E-4,stall
-2.4813477111847084E-4,-2.6660343541454667E-4,stall
-2.6660343541454667E-4,-2.74648715709373E-4,stall
-2.74648715709373E-4,-2.5979685466444346E-4,stall
-2.5979685466444346E-4,-2.4928706104040445E-4,stall
-2.4928706104040445E-4,1.7014237535726683E-4,buy
1.7014237535726683E-4,4.0038863762442353E-4,stall
4.0038863762442353E-4,6.956344997647496E-4,stall
6.956344997647496E-4,9.507404203351099E-4,stall
9.507404203351099E-4,0.0011204750348649687,stall
0.0011204750348649687,0.0010797447369614082,stall
0.0010797447369614082,0.0011307733021818137,stall
0.0011307733021818137,0.0012563984646827321,stall
0.0012563984646827321,0.001324880121884411,stall
0.001324880121884411,0.0012475511302090167,stall
0.0012475511302090167,0.0011138645026067037,stall
0.0011138645026067037,0.0010393062580298417,stall
0.0010393062580298417,0.0010365334008017018,stall
0.0010365334008017018,8.946567802375002E-4,stall
8.946567802375002E-4,6.518456196740793E-4,stall
6.518456196740793E-4,3.921132342068522E-4,stall
3.921132342068522E-4,1.5108944083772925E-4,stall
1.5108944083772925E-4,-7.102308043204636E-5,sell
-7.102308043204636E-5,-1.916194515093339E-4,stall
-1.916194515093339E-4,-3.2096276893589515E-4,stall
-3.2096276893589515E-4,-3.908406759380867E-4,stall
-3.908406759380867E-4,-4.488871974047907E-4,stall
-4.488871974047907E-4,-4.980047428865221E-4,stall
-4.980047428865221E-4,-5.697247346707146E-4,stall
-5.697247346707146E-4,-3.216014112719743E-5,stall
-3.216014112719743E-5,-3.32928458228055E-4,stall
-3.32928458228055E-4,-0.0010117958082079426,stall
-0.0010117958082079426,-0.001158404444077256,stall
-0.001158404444077256,-0.0011480636794919006,stall
-0.0011480636794919006,-0.0013748709235240544,stall
-0.0013748709235240544,-0.0014225881728749208,stall
-0.0014225881728749208,-0.0011780892776210492,stall
-0.0011780892776210492,-7.746067824741113E-4,stall
-7.746067824741113E-4,-5.799561976071684E-4,stall
-5.799561976071684E-4,-6.01022496116395E-4,stall
-6.01022496116395E-4,-6.827078158600985E-4,stall
-6.827078158600985E-4,-6.823162368448203E-4,stall
-6.823162368448203E-4,-6.193731887054938E-4,stall
-6.193731887054938E-4,-7.475792298182672E-4,stall
-7.475792298182672E-4,-8.23157764079591E-4,stall
-8.23157764079591E-4,-6.608011907939429E-4,stall
-6.608011907939429E-4,-3.8056711419055854E-4,stall
-3.8056711419055854E-4,-1.883296261576575E-4,stall
-1.883296261576575E-4,-1.6364129927692005E-4,stall
-1.6364129927692005E-4,-7.896484598210332E-5,stall
-7.896484598210332E-5,-4.327268628478878E-5,stall
-4.327268628478878E-5,8.247456691439317E-5,buy
8.247456691439317E-5,-6.50306258750703E-5,sell
-6.50306258750703E-5,-3.1210681031546223E-4,stall
-3.1210681031546223E-4,-5.779343649018128E-4,stall
-5.779343649018128E-4,-5.760574378238573E-4,stall
-5.760574378238573E-4,-5.487637117196843E-4,stall
-5.487637117196843E-4,-4.412634266559082E-4,stall
-4.412634266559082E-4,-3.0726613741190374E-4,stall
-3.0726613741190374E-4,-1.8978849572489785E-4,stall
-1.8978849572489785E-4,-1.5638718063534307E-5,stall
-1.5638718063534307E-5,4.70923273466565E-5,buy
4.70923273466565E-5,4.169788502846419E-5,stall
4.169788502846419E-5,7.930712399334698E-5,stall
7.930712399334698E-5,1.787321868503191E-4,stall
1.787321868503191E-4,8.026287463675365E-5,stall
8.026287463675365E-5,6.120912518512767E-5,stall
6.120912518512767E-5,1.323577845581197E-4,stall
1.323577845581197E-4,2.151688609719096E-4,stall
2.151688609719096E-4,3.215180366852668E-4,stall
3.215180366852668E-4,4.4843798898964267E-4,stall
4.4843798898964267E-4,5.205872670388575E-4,stall
5.205872670388575E-4,5.457805198291019E-4,stall
5.457805198291019E-4,4.4197518052769506E-4,stall
4.4197518052769506E-4,2.904682681167676E-4,stall
2.904682681167676E-4,2.2674769898165578E-4,stall
2.2674769898165578E-4,2.310842689734298E-4,stall
2.310842689734298E-4,2.5690206490514835E-4,stall
2.5690206490514835E-4,8.609457884998293E-4,stall
8.609457884998293E-4,8.792759592195993E-4,stall
8.792759592195993E-4,9.340457950644818E-4,stall
9.340457950644818E-4,7.405356443336295E-4,stall
7.405356443336295E-4,8.153176907859999E-4,stall
8.153176907859999E-4,6.529830408650563E-4,stall
6.529830408650563E-4,8.130042254846474E-4,stall
8.130042254846474E-4,8.693544426442296E-4,stall
8.693544426442296E-4,8.143088182337331E-4,stall
8.143088182337331E-4,7.338680578950285E-4,stall
7.338680578950285E-4,5.398605899771102E-4,stall
5.398605899771102E-4,3.723180031710224E-4,stall
3.723180031710224E-4,1.1378739083595622E-4,stall
1.1378739083595622E-4,-7.10549943254658E-5,sell
-7.10549943254658E-5,-2.4963711207783533E-4,stall
-2.4963711207783533E-4,-3.435272654816728E-4,stall
-3.435272654816728E-4,-4.507432513878957E-4,stall
-4.507432513878957E-4,-6.145470276323361E-4,stall
-6.145470276323361E-4,-6.653470624790954E-4,stall
-6.653470624790954E-4,-7.69412563426536E-4,stall
-7.69412563426536E-4,-8.064811050406328E-4,stall
-8.064811050406328E-4,-4.295480024863957E-4,stall
-4.295480024863957E-4,-3.6775897106604066E-4,stall
-3.6775897106604066E-4,-2.991277933514485E-4,stall
-2.991277933514485E-4,-4.633349040999309E-4,stall
-4.633349040999309E-4,-4.0899029034932154E-4,stall
-4.0899029034932154E-4,-3.1785755486343987E-4,stall
-3.1785755486343987E-4,-2.7281362139273306E-4,stall
-2.7281362139273306E-4,-3.120585294221238E-5,stall
-3.120585294221238E-5,-3.9502422284366746E-4,stall
-3.9502422284366746E-4,-6.390690116994443E-4,stall
-6.390690116994443E-4,-8.014503613690757E-4,stall
-8.014503613690757E-4,-7.899885949590624E-4,stall
-7.899885949590624E-4,-0.0010104283102824985,stall
-0.0010104283102824985,-0.001081562876236017,stall
-0.001081562876236017,-6.093890114889768E-4,stall
-6.093890114889768E-4,-4.7034515571072627E-4,stall
-4.7034515571072627E-4,-4.518674902313337E-4,stall
-4.518674902313337E-4,-4.6422474474721936E-4,stall
-4.6422474474721936E-4,-1.9553621328047667E-4,stall
-1.9553621328047667E-4,3.655583074417513E-5,buy
3.655583074417513E-5,1.4666791604541732E-4,stall
1.4666791604541732E-4,1.5379713063007978E-4,stall
1.5379713063007978E-4,2.264806278059301E-4,stall
2.264806278059301E-4,3.614529606504964E-4,stall
3.614529606504964E-4,5.396927879517466E-4,stall
5.396927879517466E-4,7.012929620557938E-4,stall
7.012929620557938E-4,6.700862949160545E-4,stall
6.700862949160545E-4,6.853429570236747E-4,stall
6.853429570236747E-4,6.909840507153603E-4,stall
6.909840507153603E-4,5.802376560424087E-4,stall
5.802376560424087E-4,4.4633540979369373E-4,stall
4.4633540979369373E-4,1.7692446171164913E-4,stall
1.7692446171164913E-4,-3.123961516923743E-4,sell
-3.123961516923743E-4,-5.321974208309494E-4,stall
-5.321974208309494E-4,-4.982198950202669E-4,stall
-4.982198950202669E-4,-5.725821859334066E-4,stall
-5.725821859334066E-4,-4.8564655028731957E-4,stall
-4.8564655028731957E-4,-4.5486349188501385E-4,stall
-4.5486349188501385E-4,-4.164567425277339E-4,stall
-4.164567425277339E-4,-3.947574199054374E-4,stall
-3.947574199054374E-4,-3.958931271465832E-4,stall
-3.958931271465832E-4,-3.8676699693754074E-4,stall
-3.8676699693754074E-4,-3.1081722843577606E-4,stall
-3.1081722843577606E-4,-2.1476381757880097E-4,stall
-2.1476381757880097E-4,-1.6170975255525965E-4,stall
-1.6170975255525965E-4,-2.4012771909226102E-4,stall
