timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.10 20:00',0.98392,0.98392,0.98351,0.98352,0.986842,0.990652,-0.002986,-0.000824,-0.000642
'2016.03.10 21:00',0.98412,0.98436,0.98401,0.98427,0.986447,0.990179,-0.003135,-0.000597,-0.000407
'2016.03.10 22:00',0.98471,0.98471,0.9847,0.98471,0.986179,0.989774,-0.003227,-0.000367,-0.000182
'2016.03.10 23:00',0.98544,0.98544,0.9854,0.9854,0.986059,0.98945,-0.00326,-0.000131,0.000047
'2016.03.11 00:00',0.98528,0.98528,0.98515,0.98517,0.985923,0.989133,-0.00325,0.00004,0.000164
'2016.03.11 01:00',0.98465,0.98465,0.98447,0.98447,0.985699,0.988787,-0.003217,0.000129,0.000198
'2016.03.11 02:00',0.98623,0.98623,0.9849,0.9849,0.985576,0.988499,-0.003159,0.000235,0.000335
'2016.03.11 03:00',0.98597,0.98615,0.98507,0.9854,0.985549,0.98827,-0.003071,0.00035,0.000426
'2016.03.11 04:00',0.98773,0.98809,0.9877,0.9877,0.98588,0.988228,-0.002926,0.000579,0.000715
'2016.03.11 05:00',0.9871,0.98722,0.98695,0.98695,0.986045,0.988133,-0.002759,0.00067,0.000707
'2016.03.11 06:00',0.98803,0.98822,0.98803,0.9882,0.986376,0.988138,-0.002559,0.000798,0.000838
'2016.03.11 07:00',0.98644,0.98651,0.9864,0.98644,0.986386,0.988012,-0.002373,0.000747,0.000676
'2016.03.11 08:00',0.98658,0.9866,0.98608,0.98609,0.98634,0.98787,-0.002204,0.000675,0.000605
'2016.03.11 09:00',0.98522,0.98563,0.98514,0.98539,0.986194,0.987686,-0.002062,0.00057,0.00047
'2016.03.11 10:00',0.98351,0.98394,0.98327,0.9833,0.985749,0.987361,-0.001972,0.000359,0.000218
'2016.03.11 11:00',0.98366,0.98406,0.98363,0.98382,0.985452,0.987099,-0.001907,0.00026,0.000183
'2016.03.11 12:00',0.98145,0.98154,0.98143,0.98154,0.98485,0.986687,-0.001893,0.000056,-0.000081
'2016.03.11 13:00',0.98161,0.98164,0.98154,0.98157,0.984346,0.986308,-0.001907,-0.000056,-0.000121
'2016.03.11 14:00',0.98072,0.98128,0.98072,0.98127,0.983872,0.985935,-0.001938,-0.000125,-0.000174
