timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.08 05:00',1.10142,1.10153,1.10135,1.10145,1.101852,1.100706,0.001159,-0.000013,-0.000107
'2016.03.08 06:00',1.10168,1.10171,1.10113,1.10113,1.101741,1.100737,0.001128,-0.000124,-0.000206
'2016.03.08 07:00',1.10144,1.10146,1.10121,1.10129,1.101671,1.100778,0.001081,-0.000188,-0.000237
'2016.03.08 08:00',1.10137,1.10153,1.1013,1.10148,1.101642,1.10083,0.001027,-0.000215,-0.000238
'2016.03.08 09:00',1.10325,1.10331,1.10309,1.10313,1.101871,1.101001,0.000996,-0.000125,-0.000077
'2016.03.08 10:00',1.10416,1.10464,1.10398,1.10464,1.102297,1.10127,0.001002,0.000025,0.000112
'2016.03.08 11:00',1.10574,1.10574,1.10523,1.10524,1.10275,1.101564,0.001039,0.000147,0.000205
'2016.03.08 12:00',1.10269,1.10296,1.10269,1.10296,1.102782,1.101668,0.001054,0.000061,-0.000005
'2016.03.08 13:00',1.10182,1.10186,1.10158,1.10168,1.102613,1.101669,0.001032,-0.000088,-0.000193
'2016.03.08 14:00',1.09972,1.10021,1.09969,1.10012,1.102229,1.101554,0.00096,-0.000285,-0.000406
'2016.03.08 15:00',1.1002,1.10027,1.09996,1.10008,1.101898,1.101445,0.000859,-0.000405,-0.00048
'2016.03.08 16:00',1.10054,1.10079,1.10043,1.10057,1.101694,1.10138,0.00075,-0.000436,-0.000448
'2016.03.08 17:00',1.10102,1.10105,1.10086,1.10098,1.101584,1.10135,0.000647,-0.000413,-0.000396
'2016.03.08 18:00',1.10055,1.10061,1.10052,1.10056,1.101427,1.101292,0.000544,-0.00041,-0.000402
'2016.03.08 19:00',1.10001,1.10005,1.0999,1.09998,1.101204,1.101195,0.000437,-0.000428,-0.000433
'2016.03.08 20:00',1.09959,1.09972,1.09958,1.09963,1.100962,1.101079,0.000327,-0.000443,-0.000442
'2016.03.08 21:00',1.09831,1.09831,1.09809,1.09809,1.10052,1.100857,0.000194,-0.000531,-0.000573
'2016.03.08 22:00',1.09772,1.09779,1.09769,1.09779,1.1001,1.10063,0.000049,-0.000579,-0.000591
'2016.03.08 23:00',1.09723,1.09726,1.09718,1.09724,1.09966,1.100379,-0.000105,-0.000614,-0.000616
'2016.03.09 00:00',1.09732,1.09734,1.09731,1.09732,1.0993,1.100152,-0.000254,-0.000598,-0.000567
'2016.03.09 01:00',1.09754,1.09755,1.09737,1.09739,1.099006,1.099948,-0.000392,-0.00055,-0.000499
'2016.03.09 02:00',1.09772,1.09772,1.09741,1.09762,1.098793,1.099775,-0.00051,-0.000473,-0.000407
'2016.03.09 03:00',1.09853,1.09853,1.09819,1.09833,1.098722,1.099668,-0.000597,-0.000349,-0.000258
'2016.03.09 04:00',1.09762,1.09767,1.09749,1.09759,1.098548,1.099514,-0.000671,-0.000296,-0.000246
'2016.03.09 05:00',1.09703,1.09703,1.09677,1.09677,1.098274,1.099311,-0.000744,-0.000293,-0.000275
'2016.03.09 06:00',1.0963,1.09643,1.09626,1.09634,1.097977,1.099091,-0.000818,-0.000296,-0.000279
'2016.03.09 07:00',1.0972,1.09742,1.09694,1.09695,1.097819,1.098932,-0.000877,-0.000236,-0.000178
'2016.03.09 08:00',1.09693,1.09709,1.09671,1.09708,1.097705,1.098795,-0.00092,-0.00017,-0.000113
'2016.03.09 09:00',1.09504,1.09518,1.09502,1.09517,1.097315,1.098527,-0.000978,-0.000233,-0.000254
'2016.03.09 10:00',1.0964,1.09667,1.09606,1.09609,1.097127,1.098346,-0.001027,-0.000193,-0.000145
'2016.03.09 11:00',1.10068,1.10098,1.10041,1.10087,1.097702,1.098533,-0.000987,0.000157,0.000387
'2016.03.09 12:00',1.10208,1.10216,1.10197,1.10203,1.098368,1.098792,-0.000875,0.000451,0.000629
'2016.03.09 13:00',1.10284,1.10293,1.1028,1.10285,1.099058,1.099093,-0.000707,0.000672,0.000789
'2016.03.09 14:00',1.10184,1.10185,1.10166,1.10179,1.099478,1.099293,-0.000528,0.000714,0.000715
'2016.03.09 15:00',1.10017,1.10023,1.09969,1.0997,1.099512,1.099323,-0.000385,0.000574,0.000472
'2016.03.09 16:00',1.10045,1.10046,1.10035,1.10044,1.099655,1.099405,-0.000258,0.000507,0.000451
'2016.03.09 17:00',1.0998,1.09989,1.09969,1.09987,1.099688,1.09944,-0.000157,0.000405,0.00033
'2016.03.09 18:00',1.09964,1.09975,1.0996,1.09973,1.099694,1.099461,-0.000079,0.000312,0.000246
'2016.03.09 19:00',1.0986,1.09868,1.09856,1.09862,1.099529,1.099399,-0.000037,0.000167,0.000072
'2016.03.09 20:00',1.09824,1.09829,1.09813,1.09817,1.09932,1.099308,-0.000027,0.000039,-0.000042
'2016.03.09 21:00',1.09825,1.09838,1.09825,1.09836,1.099172,1.099238,-0.000035,-0.000031,-0.000072
'2016.03.09 22:00',1.09843,1.09847,1.09843,1.09844,1.09906,1.099179,-0.000052,-0.000067,-0.000088
'2016.03.09 23:00',1.09726,1.09727,1.09714,1.09717,1.098769,1.09903,-0.000093,-0.000167,-0.000226
'2016.03.10 00:00',1.09765,1.09767,1.09763,1.09764,1.098595,1.098927,-0.000141,-0.000191,-0.000199
